abetìnö<-vocal.7.b--abitìnö<-vocal.5.a--abitìnu<-degem.6--abbitìnu,afer.1 leniz.5 vocal.10
andè<-palat.5--andàri<-dissim.2--annàri,afer.1
angarìa,afer.1 vocal.10
anö̀rë<-vocal.5.c--anùrë<-vocal.2.a--anùri,afer.1
anö̀rö<-vocal.5.c--anùrö<-vocal.5.a--anùru,afer.1
antechità<-vocal.7.b--antichità,afer.1 leniz.1 leniz.5 vocal.7.b
antecipè<-vocal.7.b--anticipè<-palat.5--anticipàri,afer.1 assib.6.d leniz.3 vocal.7.b
antimòniö<-vocal.5.a--antimòniu,afer.1 vocal.7.b
antìcepö<-vocal.7.b--antìcipö<-vocal.5.a--antìcipu,afer.1 assib.4 leniz.3 vocal.10
anörè<-vocal.5.a--anurè<-palat.5--anuràri,afer.1
aparechjè<-vocal.7.b--aparichjè<-palat.5--aparichjàri<-degem.7--aparicchjàri<-degem.5--apparicchjàri,afer.1
apartè<-palat.5--apartàri<-degem.5--appartàri,afer.1
aprìlë<-vocal.2.a--aprìli,afer.1 leniz.12 leniz.4 vocal.10 vocal.13
aprövè<-vocal.5.a--apruvè<-palat.5--apruvàri<-degem.5--appruvàri,afer.1
apàrtö<-vocal.5.a--apàrtu<-degem.5--appàrtu,afer.1 
apàrö<-vocal.5.a--apàru,afer.1 leniz.3
apòstelö<-vocal.8.a--apòstulö<-vocal.5.a--apòstulu,afer.1 ditt.2.b leniz.12 leniz.3
apönàzzö<-vocal.5.a--apunàzzu,afer.1 leniz.3
arbanàzzö<-vocal.5.a--arbanàzzu,
arbetiàntë<-vocal.7.b--arbitiàntë<-vocal.2.a--arbitiànti,leniz.5 vocal.13
arbìtiö<-vocal.5.a--arbìtiu,leniz.5 vocal.10
arbìtriö<-vocal.5.a--arbìtriu<-deretr.1--arbìṭṛiu,vocal.10
arcenfànfarö<-vocal.7.b--arcinfànfarö<-vocal.5.a--arcinfànfaru,assib.11
architètö<-vocal.5.a--architètu<-degem.2--architèttu,ditt.1.b leniz.5 vocal.7.b
archìviö<-vocal.5.a--archìviu,vocal.10
archïè<-palat.10--archïàri,
arcòvia,ditt.2.b
ardùra,vocal.5.c
argentarìa<-vocal.7.b--argintarìa,vocal.10
argentièrö<-vocal.9.a--argentièri<-vocal.7.b--argintièri<-ditt.1.b--argintèri,
armalö̀zzö<-vocal.5.c--armalùzzö<-vocal.5.a--armalùzzu,leniz.12
armarìa,vocal.10
armàle<-vocal.7.a--armàli,leniz.12
armè<-palat.5--armàri,
arrö̀rë<-vocal.5.c--arrùrë<-vocal.2.a--arrùri,vocal.13
arrö̀rö<-vocal.13--arrö̀ri<-vocal.5.c--arrùri,
arsanàö<-vocal.9.b--arsanàli,
arsùra,vocal.5.c
artarèddö<-vocal.5.a--artarèddu<-degem.4--artarèḍḍu,ditt.1.b degem.20
artarìnö<-vocal.5.a--artarìnu,vocal.10
artàrö<-vocal.5.a--artàru,
artìsta,vocal.10
arèdë<-vocal.2.a--arèdi,ditt.1.b vocal.13
asatörìa<-vocal.5.a--asaturìa<-degem.2--asatturìa,vocal.10
ascïè<-palat.10--ascïàri,afer.1
assartè<-palat.5--assartàri,afer.1
assessö̀rë<-vocal.7.b--assissö̀rë<-vocal.5.c--assissùrë<-vocal.2.a--assissùri,afer.1 vocal.13
asèmpiö<-vocal.5.a--asèmpiu,afer.1 ditt.1.b
asìstö<-inf.3.a--asìstiri,afer.1 assib.2 vocal.10
atevità<-vocal.7.b--atività<-degem.2--attività,afer.1 vocal.7.b
auceddàzzö<-vocal.7.b--auciddàzzö<-vocal.5.a--auciddàzzu<-degem.4--auciḍḍàzzu,afer.1 assib.4
audènzia,afer.1 ditt.1.b
augurè<-palat.5--auguràri,afer.1 vocal.5.a
augùriö<-vocal.5.a--augùriu,afer.1 vocal.5.a
aurë̀ghja<-vocal.10--aurìghja<-leniz.1--aurìchja<-degem.7--aurìcchja,afer.1 vocal.5.a
autë̀zza<-vocal.10--autìzza,afer.1 leniz.5 vocal.5.a
auzzè<-palat.5--auzzàri,afer.1 vocal.5.a
avanzè<-palat.5--avanzàri,afer.1
avenìre<-vocal.7.b--avinìre<-vocal.7.a--avinìri<-degem.12--avvinìri,afer.1 vocal.10
avertènzia<-vocal.7.b--avirtènzia,afer.1 ditt.1.b
avë̀<-inf.1--avìri,afer.1
avë̀na<-vocal.10--avìna,afer.1
avìsö<-vocal.5.a--avìsu,afer.1 vocal.10
avòriö<-vocal.5.a--avòriu,afer.1 ditt.2.b
azzarìn<-leniz.16--azzarìnu,afer.1 vocal.10
babaluciàrö<-vocal.5.a--babaluciàru<-elim.2--bbabaluciàru<-degem.6--bbabbaluciàru,assib.6.d leniz.12 vocal.11
babalucèddö<-vocal.5.a--babalucèddu<-elim.2--bbabalucèddu<-degem.6--bbabbalucèddu<-degem.4--bbabbalucèḍḍu,assib.5 ditt.1.b leniz.12 vocal.11
babalùciö<-vocal.5.a--babalùciu<-elim.2--bbabalùciu<-degem.6--bbabbalùciu,assib.6.d leniz.12 vocal.5.c
babanàzzö<-vocal.5.a--babanàzzu<-elim.2--bbabanàzzu<-degem.6--bbabbanàzzu,
babasö̀n<-leniz.14--babasùni<-elim.2--bbabasùni<-degem.6--bbabbasùni,
babetùdenë<-vocal.7.b--babitùdinë<-vocal.2.a--babitùdini<-leniz.5--babitùtini<-elim.2--bbabitùtini<-degem.6--bbabbitùtini,leniz.5 vocal.5.c vocal.13
babilònia<-elim.2--bbabilònia<-degem.6--bbabbilònia,ditt.2.b leniz.12 vocal.7.b
babàna<-elim.2--bbabàna<-degem.6--bbabbàna,
babïè<-palat.10--babïàri<-elim.2--bbabïàri<-degem.6--bbabbïàri,
bacalàrö<-vocal.5.a--bacalàru<-elim.2--bbacalàru<-degem.7--bbaccalàru,leniz.12
bacamòrtö<-vocal.5.a--bacamòrtu<-elim.2--bbacamòrtu,ditt.2.b leniz.1
bacarà<-elim.2--bbacarà,leniz.1
bachetö̀n<-vocal.7.b--bachitö̀n<-leniz.14--bachitùni<-elim.2--bbachitùni<-degem.7--bbacchitùni<-degem.2--bbacchittùni,leniz.1 leniz.5
bachetàda<-vocal.7.b--bachitàda<-leniz.5--bachitàta<-elim.2--bbachitàta<-degem.7--bbacchitàta<-degem.2--bbacchittàta,leniz.1 leniz.5
bachèta<-elim.1--vachèta<-degem.7--vacchèta<-degem.2--vacchètta,ditt.1.b leniz.1 leniz.5
bacilèdda<-elim.1--vacilèdda<-degem.4--vacilèḍḍa,assib.6.d ditt.1.b leniz.12 vocal.7.b
badaghjè<-palat.5--badaghjàri<-elim.1--vadaghjàri<-degem.9--vadagghjàri,
badalòcö<-vocal.5.a--badalòcu<-elim.1--vadalòcu<-degem.7--vadalòccu,ditt.2.b leniz.12
baddölïè<-vocal.5.a--baddulïè<-palat.10--baddulïàri<-elim.2--bbaddulïàri<-degem.4--bbaḍḍulïàri<-afer.1--abbaḍḍulïàri,leniz.12
badàghjö<-vocal.5.a--badàghju<-elim.1--vadàghju<-degem.9--vadàgghju,
badàö<-vocal.9.b--badàli<-elim.2--bbadàli,
badè<-palat.5--badàri<-elim.2--bbadàri<-afer.1--abbadàri,
badìlë<-vocal.2.a--badìli<-elim.1--vadìli,leniz.12 vocal.10 vocal.13
bafarèssë<-palat.6--bafaràrisi<-elim.2--bbafaràrisi<-afer.1--abbafaràrisi,
bafèssë<-palat.6--bafàrisi<-elim.2--bbafàrisi<-degem.11--bbaffàrisi,
bafïè<-palat.10--bafïàri<-elim.2--bbafïàri<-degem.11--bbaffïàri,
bagascièrö<-vocal.9.a--bagascièri<-elim.2--bbagascièri<-ditt.1.b--bbagascèri,
bagascïè<-palat.10--bagascïàri<-elim.2--bbagascïàri,
bagnadìna<-leniz.5--bagnatìna<-elim.1--vagnatìna,vocal.10
bagnalòra<-elim.2--bbagnalòra,ditt.2.b leniz.12
bagnièra<-elim.2--bbagnièra<-ditt.1.b--bbagnèra,
bagnàda<-leniz.5--bagnàta<-elim.1--vagnàta,
bagnè<-palat.5--bagnàri<-elim.1--vagnàri,
bagàscia<-elim.2--bbagàscia,
baialàrdö<-vocal.5.a--baialàrdu<-elim.2--bbaialàrdu,leniz.12
baiàda<-leniz.5--baiàta<-elim.2--bbaiàta<-afer.1--abbaiàta,
baiàna<-elim.1--vaiàna,
baiòcö<-vocal.5.a--baiòcu<-elim.2--bbaiòcu,ditt.2.b leniz.1
balatö̀n<-leniz.14--balatùni<-elim.1--valatùni,leniz.12 leniz.5
balatèdda<-elim.1--valatèdda<-degem.4--valatèḍḍa,ditt.1.b leniz.12 leniz.5
balànza<-elim.1--valànza,leniz.12
balàta<-elim.1--valàta,leniz.12 leniz.5
balèstra<-elim.2--bbalèstra<-deretr.3--bbalèṣṭṛa,ditt.1.b leniz.12
balìa<-elim.1--valìa,leniz.12 vocal.10
balìgia<-elim.1--valìgia<-degem.9--valìggia,leniz.12 vocal.10
bàlö<-vocal.5.a--bàlu<-elim.2--bbàlu<-afer.1--abbàlu<-degem.19.b--abbàllu,
bambìn<-leniz.16--bambìnu<-elim.2--bbambìnu<-dissim.1--bbammìnu,vocal.10
bancarèddö<-vocal.5.a--bancarèddu<-elim.1--vancarèddu<-degem.4--vancarèḍḍu,ditt.1.b degem.20
banchìna<-elim.2--bbanchìna,vocal.10
bancàtö<-vocal.5.a--bancàtu<-elim.1--vancàtu,leniz.5 leniz.7
bandiö̀n<-leniz.14--bandiùni<-elim.1--vandiùni<-dissim.2--vanniùni,
bandièra<-elim.2--bbandièra<-ditt.1.b--bbandèra<-dissim.2--bbannèra,
bandö̀nö<-vocal.5.c--bandùnö<-vocal.5.a--bandùnu<-elim.2--bbandùnu<-dissim.2--bbannùnu<-afer.1--abbannùnu,leniz.17
bandìsta<-elim.2--bbandìsta,vocal.10
bandìö<-vocal.5.a--bandìu<-elim.1--vandìu<-dissim.2--vannìu,vocal.10
bandïè<-palat.10--bandïàri<-elim.1--vandïàri<-dissim.2--vannïàri,
bandölïè<-vocal.5.a--bandulïè<-palat.10--bandulïàri<-elim.1--vandulïàri<-dissim.2--vannulïàri,leniz.12
bandönè<-vocal.5.a--bandunè<-palat.5--bandunàri<-elim.2--bbandunàri<-dissim.2--bbannunàri<-afer.1--abbannunàri,
barachìn<-leniz.16--barachìnu<-elim.2--bbarachìnu<-degem.7--bbaracchìnu,vocal.10
baraö̀nda<-vocal.5.c--baraùnda<-elim.2--bbaraùnda<-dissim.2--bbaraùnna,
barbacàn<-leniz.13--barbacàni<-elim.1--varbacàni,leniz.1
barbarë̀scö<-vocal.5.a--barbarë̀scu<-vocal.10--barbarìscu<-elim.1--varbarìscu,
barbaròzzö<-vocal.5.a--barbaròzzu<-elim.1--varbaròzzu,ditt.2.b
barbasàpiö<-vocal.5.a--barbasàpiu<-elim.1--varbasàpiu,leniz.3
barbë̀të<-vocal.10--barbìtë<-vocal.2.a--barbìti<-elim.1--varbìti<-degem.2--varbìtti,leniz.5
barbièrö<-vocal.9.a--barbièri<-elim.1--varbièri<-ditt.1.b--varbèri,
barbö̀n<-leniz.14--barbùni<-elim.1--varbùni,
barbö̀në<-vocal.5.c--barbùnë<-vocal.2.a--barbùni<-elim.1--varbùni,leniz.14 vocal.13
barbö̀scia<-vocal.5.c--barbùscia<-elim.1--varbùscia,
barchïè<-palat.10--barchïàri<-elim.1--varchïàri,
barcölïè<-vocal.5.a--barculïè<-palat.10--barculïàri<-elim.1--varculïàri,leniz.12
bardachìnö<-vocal.5.a--bardachìnu<-elim.2--bbardachìnu<-degem.7--bbardacchìnu,leniz.1 vocal.10 degem.16
bardö̀n<-leniz.14--bardùni<-elim.1--vardùni,
bardànza<-elim.2--bbardànza,
bardàrö<-vocal.5.a--bardàru<-elim.1--vardàru,
bardèdda<-elim.1--vardèdda<-degem.4--vardèḍḍa,ditt.1.b
barö̀n<-leniz.14--barùni<-elim.1--varùni,
barrilàrö<-vocal.5.a--barrilàru<-elim.1--varrilàru,leniz.12 vocal.7.b
barrilòtö<-vocal.5.a--barrilòtu<-elim.1--varrilòtu<-degem.2--varrilòttu,ditt.2.b leniz.12 leniz.5 vocal.7.b
barràca<-elim.2--bbarràca<-degem.7--bbarràcca,
barrïè<-palat.10--barrïàri<-elim.2--bbarrïàri<-afer.1--abbarrïàri,
baràba<-elim.2--bbaràba<-degem.6--bbaràbba,
barönë̀ssa<-vocal.5.a--barunë̀ssa<-vocal.10--barunìssa<-elim.2--bbarunìssa,
barönèddö<-vocal.5.a--barunèddu<-elim.2--bbarunèddu<-degem.4--bbarunèḍḍu,ditt.1.b degem.20
barùfa<-elim.2--bbarùfa<-degem.11--bbarùffa<-afer.1--abbarùffa,vocal.5.c
basalicò<-elim.2--bbasalicò,ditt.2.b leniz.1 leniz.12 vocal.7.b
bascë̀zza<-vocal.10--bascìzza<-elim.1--vascìzza,
baschïè<-palat.10--baschïàri<-elim.1--vaschïàri,
basciùra<-elim.1--vasciùra,vocal.5.c
bastardö̀n<-leniz.14--bastardùni<-elim.2--bbastardùni,
bastasarìa<-elim.1--vastasarìa,vocal.10
bastàsö<-vocal.5.a--bastàsu<-elim.1--vastàsu,
bastè<-palat.5--bastàri<-elim.1--vastàri,
bastèmia<-elim.2--bbastèmia,
bastemïè<-vocal.7.b--bastimïè<-palat.10--bastimïàri<-elim.1--vastimïàri,
bastönièrö<-vocal.9.a--bastönièri<-vocal.5.a--bastunièri<-elim.2--bbastunièri<-ditt.1.b--bbastunèri,
bastönàca<-vocal.5.a--bastunàca<-elim.1--vastunàca,leniz.1
bastönàda<-vocal.5.a--bastunàda<-leniz.5--bastunàta<-elim.1--vastunàta,
bastönïè<-vocal.5.a--bastunïè<-palat.10--bastunïàri<-elim.1--vastunïàri,
bataghjèddö<-vocal.5.a--bataghjèddu<-elim.2--bbataghjèddu<-degem.9--bbatagghjèddu<-degem.4--bbatagghjèḍḍu<-degem.2--bbattagghjèḍḍu,ditt.1.b leniz.5 degem.20
batarèö<-vocal.5.a--batarèu<-elim.2--bbatarèu<-degem.20--bbatarèḍḍu<-degem.2--bbattarèḍḍu,ditt.1.b leniz.5
batarìa<-elim.2--bbatarìa<-degem.2--bbattarìa,leniz.5 vocal.10
batë̀ssa<-vocal.10--batìssa<-elim.2--bbatìssa,leniz.5
batughjè<-palat.5--batughjàri<-elim.2--bbatughjàri<-degem.9--bbatugghjàri<-degem.2--bbattugghjàri,leniz.5 vocal.11
batàghjö<-vocal.5.a--batàghju<-elim.2--bbatàghju<-degem.9--bbatàgghju,leniz.5
batàla<-elim.1--vatàla<-degem.2--vattàla,leniz.12 leniz.5
batàlë<-vocal.2.a--batàli<-elim.1--vatàli<-degem.2--vattàli,leniz.12 leniz.5
batìa<-elim.2--bbatìa,leniz.5 vocal.10
batìsgemö<-vocal.5.a--batìsgemu<-elim.1--vatìsgemu<-degem.2--vattìsgemu<-assib.1.a--vattìsimu,leniz.5 vocal.10
batïè<-palat.10--batïàri<-elim.1--vatïàri<-degem.2--vattïàri,leniz.5
batölïè<-vocal.5.a--batulïè<-palat.10--batulïàri<-elim.1--vatulïàri<-degem.2--vattulïàri,leniz.12 leniz.5
batùda<-leniz.5--batùta<-elim.2--bbatùta<-degem.2--bbattùta,leniz.5 vocal.5.c
bauchè<-elim.2--bbauchè<-degem.8--bbauccàri<-degem.20--bbaḍḍuccàri<-afer.1--abbaḍḍuccàri,leniz.1 vocal.11
bavarö̀n<-leniz.14--bavarùni<-elim.1--vavarùni,
bavö̀sa<-vocal.5.c--bavùsa<-elim.1--vavùsa,
bavïòla<-elim.2--bbavïòla,ditt.2.b leniz.12
bazzichè<-palat.1--bazzicàri<-elim.2--bbazzicàri,leniz.1 vocal.7.b
bebö̀<-vocal.8.a--bubö̀<-vocal.5.c--bubù<-elim.2--bbubù<-degem.6--bbubbù,
becamòrtö<-vocal.5.a--becamòrtu<-elim.2--bbecamòrtu,ditt.2.b leniz.1
becarrö̀n<-leniz.14--becarrùni<-elim.2--bbecarrùni<-degem.7--bbeccarrùni,leniz.1
becedàriö<-vocal.5.a--becedàriu<-elim.2--bbecedàriu<-degem.7--bbeccedàriu<-degem.3--bbecceddàriu<-afer.1--abbecceddàriu,assib.4 leniz.1
bechièrö<-vocal.9.a--bechièri<-vocal.7.b--bichièri<-elim.1--vichièri<-ditt.1.b--vichèri<-degem.7--vicchèri,leniz.1 leniz.19.a leniz.19.b
beddë̀zza<-vocal.7.b--biddë̀zza<-vocal.10--biddìzza<-elim.2--bbiddìzza<-degem.4--bbiḍḍìzza,
beddìcö<-vocal.7.b--biddìcö<-vocal.5.a--biddìcu<-elim.1--viddìcu<-degem.4--viḍḍìcu,leniz.1 vocal.10
bedì<-vocal.7.b--bidì<-elim.2--bbidì,vocal.10
befarièra<-vocal.7.b--bifarièra<-elim.2--bbifarièra<-ditt.1.b--bbifarèra,
beghjuòö<-vocal.8.a--bughjuòö<-vocal.5.a--bughjuòu<-leniz.12--bughjuòlu<-elim.2--bbughjuòlu<-ditt.2.b--bbughjòlu<-degem.9--bbugghjòlu,
beghjùda<-vocal.8.a--bughjùda<-leniz.5--bughjùta<-elim.1--vughjùta<-degem.9--vugghjùta,vocal.5.c
belìsciö<-vocal.7.b--bilìsciö<-inf.4--bilìri<-elim.2--bbilìri<-afer.1--abbilìri,vocal.10
benedìsgiö<-inf.3.b.2--benedìsgiri<-elim.2--bbenedìsgiri<-assib.6.c--bbenedìciri,vocal.10
bentè<-vocal.7.b--bintè<-palat.5--bintàri<-elim.2--bbintàri<-afer.1--abbintàri,
berbesgìna<-vocal.7.b--birbisgìna<-elim.2--bbirbisgìna<-assib.7--bbirbicìna,vocal.10
berretö̀n<-vocal.7.b--birritö̀n<-leniz.14--birritùni<-elim.2--bbirritùni<-degem.2--bbirrittùni,leniz.5
berruòghjö<-vocal.7.b--birruòghjö<-vocal.5.a--birruòghju<-elim.2--bbirruòghju<-degem.9--bbirruògghju,
berrèta<-vocal.7.b--birrèta<-elim.2--bbirrèta<-degem.2--bbirrètta,ditt.1.b
bertölö̀n<-vocal.7.b--birtölö̀n<-vocal.5.a--birtulö̀n<-leniz.14--birtulùni<-elim.1--virtulùni,leniz.12
besazzö̀n<-vocal.7.b--bisazzö̀n<-leniz.14--bisazzùni<-elim.1--visazzùni,
bescòtö<-vocal.7.b--biscòtö<-vocal.5.a--biscòtu<-elim.1--viscòtu<-degem.2--viscòttu,ditt.2.b leniz.5
bestentè<-vocal.7.b--bistintè<-palat.5--bistintàri<-elim.1--vistintàri,
bestiamàrö<-vocal.5.a--bestiamàru<-elim.2--bbestiamàru,
bestiuòö<-vocal.5.a--bestiuòu<-leniz.12--bestiuòlu<-elim.2--bbestiuòlu<-ditt.2.b--bbestiòlu,
besàzza<-vocal.7.b--bisàzza<-elim.1--visàzza,
besògnö<-vocal.7.b--bisògnö<-vocal.5.a--bisògnu<-elim.2--bbisògnu,ditt.2.b
besögnè<-vocal.7.b--bisögnè<-vocal.5.a--bisugnè<-palat.5--bisugnàri<-elim.2--bbisugnàri,
betö̀n<-vocal.8.a--butö̀n<-leniz.14--butùni<-elim.2--bbutùni<-degem.2--bbuttùni,
beveradö̀ra<-vocal.7.b--biviradö̀ra<-vocal.5.c--biviradùra<-leniz.5--biviratùra<-elim.2--bbiviratùra<-afer.1--abbiviratùra,
beverö̀n<-vocal.7.b--bivirö̀n<-leniz.14--bivirùni<-elim.1--vivirùni,
beveràda<-vocal.7.b--biviràda<-leniz.5--biviràta<-elim.2--bbiviràta,
beveràgiö<-vocal.7.b--biviràgiö<-vocal.5.a--biviràgiu<-elim.1--viviràgiu<-degem.9--viviràggiu,
beverè<-vocal.7.b--bivirè<-palat.5--biviràri<-elim.2--bbiviràri<-afer.1--abbiviràri,
bevàiö<-vocal.7.b--bivàiö<-vocal.5.a--bivàiu<-elim.1--vivàiu,
bevùda<-vocal.7.b--bivùda<-leniz.5--bivùta<-elim.1--vivùta,vocal.5.c
bezzö̀n<-vocal.8.a--buzzö̀n<-leniz.14--buzzùni<-elim.1--vuzzùni,
bezzè<-vocal.7.b--bizzè<-palat.5--bizzàri<-elim.2--bbizzàri<-afer.1--abbizzàri,
biancarìa<-elim.2--bbiancarìa,vocal.10
bianchïè<-palat.10--bianchïàri<-elim.2--bbianchïàri,
biberò<-elim.2--bbiberò<-degem.6--bbibberò,ditt.2.b vocal.7.b
bilïèssë<-palat.11--bilïàrisi<-elim.2--bbilïàrisi<-afer.1--abbilïàrisi,
birbantarìa<-elim.2--bbirbantarìa,vocal.10 vocal.7.b
bissè<-palat.5--bissàri<-elim.2--bbissàri<-afer.1--abbissàri,
bitàntë<-vocal.2.a--bitànti<-elim.2--bbitànti<-afer.1--abbitànti,leniz.5 vocal.7.b vocal.13
bitè<-palat.5--bitàri<-elim.2--bbitàri<-afer.1--abbitàri,
bitòrdö<-vocal.5.a--bitòrdu<-elim.2--bbitòrdu<-degem.2--bbittòrdu,ditt.2.b leniz.5 vocal.7.b
biàncö<-vocal.5.a--biàncu<-elim.2--bbiàncu,
bo<-elim.1--vo,
bobò<-elim.2--bbobò<-degem.6--bbobbò,ditt.2.b
bonvègna<-elim.2--bbonvègna,ditt.1.b
bonàrma<-elim.2--bbonàrma,
bö̀ba<-vocal.5.c--bùba<-elim.2--bbùba<-degem.6--bbùbba,
bö̀ca<-vocal.5.c--bùca<-elim.1--vùca<-degem.7--vùcca,
bö̀da<-vocal.5.c--bùda<-elim.1--vùda,
bö̀fa<-vocal.5.c--bùfa<-elim.2--bbùfa<-degem.11--bbùffa,
bö̀lö<-vocal.5.c--bùlö<-vocal.5.a--bùlu<-elim.2--bbùlu<-degem.19.b--bbùllu,
bö̀mba<-vocal.5.c--bùmba<-elim.2--bbùmba<-dissim.1--bbùmma,
bö̀rsa<-vocal.5.c--bùrsa<-elim.1--vùrsa,
bòta<-elim.2--bbòta<-degem.2--bbòtta,
bölè<-vocal.5.a--bulè<-palat.5--bulàri<-elim.2--bbulàri<-afer.1--abbulàri<-degem.19.b--abbullàri,
bö̀të<-vocal.5.c--bùtë<-vocal.2.a--bùti<-elim.1--vùti<-degem.2--vùtti,leniz.5 vocal.11
bö̀tö<-vocal.13--bö̀ti<-vocal.5.c--bùti<-elim.1--vùti<-degem.2--vùtti,
bracialètö<-vocal.5.a--bracialètu<-elim.2--bbracialètu<-degem.7--bbraccialètu<-degem.2--bbraccialèttu,ditt.1.b leniz.1 leniz.12 leniz.5
bramarìzzö<-vocal.5.a--bramarìzzu<-elim.1--vramarìzzu,vocal.10
bramè<-palat.5--bramàri<-elim.1--vramàri,
bramö<-vocal.5.a--bramu<-elim.1--vramu,
brancarìa<-elim.1--vrancarìa,vocal.10
branchë̀zza<-vocal.10--branchìzza<-elim.1--vranchìzza,
branchïè<-palat.10--branchïàri<-elim.1--vranchïàri,
brancussìna<-elim.1--vrancussìna,assib.2 vocal.10 vocal.5.a vocal.8.b
brancàda<-leniz.5--brancàta<-elim.1--vrancàta,
brazzö̀n<-leniz.14--brazzùni<-elim.2--bbrazzùni<-afer.1--abbrazzùni,
brazzàda<-leniz.5--brazzàta<-elim.1--vrazzàta,
brazzè<-palat.5--brazzàri<-elim.2--bbrazzàri<-afer.1--abbrazzàri,
brecialàrö<-vocal.7.b--bricialàrö<-vocal.5.a--bricialàru<-elim.2--bbricialàru<-degem.7--bbriccialàru,leniz.12
brecichèta<-vocal.7.b--bricichèta<-elim.2--bbricichèta<-degem.2--bbricichètta,assib.6.d ditt.1.b leniz.1 vocal.7.b
breciölìn<-vocal.7.b--briciölìn<-vocal.5.a--briciulìn<-leniz.16--briciulìnu<-elim.1--vriciulìnu<-degem.7--vricciulìnu,assib.6.d leniz.12 vocal.10
breciölìnö<-vocal.7.b--briciölìnö<-vocal.5.a--briciulìnu<-elim.1--vriciulìnu<-degem.7--vricciulìnu,assib.6.d leniz.12 leniz.16 vocal.10
brelòcö<-vocal.7.b--brilòcö<-vocal.5.a--brilòcu<-elim.2--bbrilòcu,ditt.2.b leniz.1 leniz.12
brenzòlö<-vocal.7.b--brinzòlö<-vocal.5.a--brinzòlu<-elim.2--bbrinzòlu,leniz.12
brë̀sca<-vocal.10--brìsca<-elim.1--vrìsca,
bricö̀n<-leniz.14--bricùni<-elim.2--bbricùni<-degem.7--bbriccùni,leniz.1 vocal.7.b
brigadièrö<-vocal.9.a--brigadièri<-leniz.5--brigatièri<-elim.2--bbrigatièri<-ditt.1.b--bbrigatèri,vocal.7.b
brilò<-elim.2--bbrilò,ditt.2.b leniz.12 vocal.7.b
bronchìta<-elim.2--bbronchìta,leniz.5 vocal.10
brö̀ghjö<-vocal.5.c--brùghjö<-vocal.5.a--brùghju<-elim.2--bbrùghju<-degem.9--bbrùgghju,
